room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
13219674,1480,73826302,Shared room,,Lisbon,,Arroios,21,4.5,4,1.0,,14.0,,Fly to Lisbon Hostel 4 Mixed Bed Dorm,2017-07-28 01:19:35.252954,38.72699,-9.141158,0101000020E6100000362383DC454822C0704221020E5D4340
16150682,1480,58899339,Shared room,,Lisbon,,Avenidas Novas,5,4.5,9,1.0,,24.0,,Dormitório misto,2017-07-28 01:19:35.249495,38.735217,-9.144291,0101000020E6100000DB368C82E04922C04B3B35971B5E4340
12268067,1480,66077974,Shared room,,Lisbon,,Arroios,103,5.0,1,1.0,,24.0,,Be Lisbon Hostel,2017-07-28 01:19:35.247393,38.731514,-9.138977,0101000020E6100000DACA4BFE274722C077483140A25D4340
18154042,1480,124601372,Shared room,,Lisbon,,Avenidas Novas,1,0.0,6,1.0,,30.0,,Brother`s Hostel,2017-07-28 01:19:35.243546,38.727408,-9.14877,0101000020E61000007940D9942B4C22C0A46C91B41B5D4340
14103514,1480,84472028,Shared room,,Lisbon,,São Vicente,11,4.5,1,1.0,,18.0,,Lisboa Arte Hostel - Shared room 2,2017-07-28 01:19:35.240960,38.714905,-9.122155,0101000020E6100000F415A4198B3E22C09A5FCD01825B4340
18002891,1480,25913998,Shared room,,Lisbon,,Arroios,0,0.0,1,1.0,,18.0,,ROOM GANI Bairo Alto two,2017-07-28 01:19:35.238649,38.725793,-9.133965,0101000020E6100000069E7B0F974422C03755F7C8E65C4340
3420550,1480,5799522,Shared room,,Lisbon,,Santo António,10,4.0,9,1.0,,20.0,,9-bed shared dorm,2017-07-28 01:19:35.233944,38.723686,-9.142573,0101000020E6100000D1950854FF4822C05A492BBEA15C4340
18346190,1480,107813252,Shared room,,Lisbon,,Areeiro,1,0.0,3,1.0,,20.0,,Beautiful room near downtown Lisbon,2017-07-28 01:19:31.086137,38.73863,-9.13033,0101000020E610000018601F9DBA4222C018EC866D8B5E4340
13220202,1480,73826302,Shared room,,Lisbon,,Arroios,27,4.5,3,1.0,,14.0,,Fly to Lisbon Hostel 3 Mixed Bed Dorm,2017-07-28 01:19:31.083855,38.728488,-9.142226,0101000020E61000002448A5D8D14822C0A4C343183F5D4340
1365083,1480,6401752,Shared room,,Lisbon,,Areeiro,57,4.5,4,1.0,,18.0,,Mini Hostel in Lisbon. Room for 4 guests,2017-07-28 01:19:31.081064,38.73816,-9.135948,0101000020E6100000C9E9EBF99A4522C0919BE1067C5E4340
17786215,1480,103885214,Shared room,,Lisbon,,Santa Maria Maior,3,4.5,1,1.0,,23.0,,Lisboa Tu & Eu Hostel - VII,2017-07-28 01:19:31.077707,38.709214,-9.132709,0101000020E61000000DC51D6FF24322C0C4EE3B86C75A4340
